stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3494,P006940,Praza de América  3,Parada,42.2206639016878,-8.73341989205637,,http://infobus.vitrasa.es:8002/Default.aspx?parada=6940,,,Europe/Madrid,1
3328,P005380,Avda. da Florida  8,Parada,42.2197430526449,-8.73432218728412,,http://infobus.vitrasa.es:8002/Default.aspx?parada=5380,,,Europe/Madrid,1
3921,P0014300,Avda. da Florida  30,Parada,42.2179075475897,-8.73707435954969,,http://infobus.vitrasa.es:8002/Default.aspx?parada=14300,,,Europe/Madrid,1
3325,P005350,Avda. da Florida  40,Parada,42.2167792480037,-8.73870514263075,,http://infobus.vitrasa.es:8002/Default.aspx?parada=5350,,,Europe/Madrid,1
3319,P005290,Avda. da Florida  60,Parada,42.2150609359855,-8.74130956758421,,http://infobus.vitrasa.es:8002/Default.aspx?parada=5290,,,Europe/Madrid,1
3326,P005360,Avda. da Florida  70,Parada,42.212804214807,-8.74450676072996,,http://infobus.vitrasa.es:8002/Default.aspx?parada=5360,,,Europe/Madrid,1
3783,P0014162,Avda. da Florida  82,Parada,42.2113718708343,-8.74652378190916,,http://infobus.vitrasa.es:8002/Default.aspx?parada=14162,,,Europe/Madrid,1
3321,P005310,Avda. da Florida  140,Parada,42.2080243075383,-8.75041298498076,,http://infobus.vitrasa.es:8002/Default.aspx?parada=5310,,,Europe/Madrid,1
3751,P0014128,Camiño do Caramuxo (fronte 9),Parada,42.207332919682,-8.75215910304945,,http://infobus.vitrasa.es:8002/Default.aspx?parada=14128,,,Europe/Madrid,1
3979,P0014359,Rúa das Teixugueiras  16-Portal 2,Parada,42.2122357379095,-8.7550117456386,,http://infobus.vitrasa.es:8002/Default.aspx?parada=14359,,,Europe/Madrid,1
4008,P0014389,Rúa das Teixugueiras  22,Parada,42.2102126032577,-8.7550799892401,,http://infobus.vitrasa.es:8002/Default.aspx?parada=14389,,,Europe/Madrid,1
3978,P0014358,Rúa das Teixugueiras  28,Parada,42.2090545565394,-8.75715864967097,,http://infobus.vitrasa.es:8002/Default.aspx?parada=14358,,,Europe/Madrid,1
4012,P0014393,Rúa da Pedra Seixa (fronte Colexio),Parada,42.2095689355145,-8.76077700118773,,http://infobus.vitrasa.es:8002/Default.aspx?parada=14393,,,Europe/Madrid,1
3653,P008410,Rúa de Tomás Paredes (fronte 108),Parada,42.2180063457877,-8.75415436708865,,http://infobus.vitrasa.es:8002/Default.aspx?parada=8410,,,Europe/Madrid,1
3655,P008430,Rúa de Tomás Paredes  9,Parada,42.2212295183711,-8.75341165744072,,http://infobus.vitrasa.es:8002/Default.aspx?parada=8430,,,Europe/Madrid,1
3068,P002830,Rúa de Camilo Veiga  33,Parada,42.222438550315,-8.7519785515521,,http://infobus.vitrasa.es:8002/Default.aspx?parada=2830,,,Europe/Madrid,1
3651,P008390,Rúa de Tomás A. Alonso  251,Parada,42.2235105322766,-8.74890326444368,,http://infobus.vitrasa.es:8002/Default.aspx?parada=8390,,,Europe/Madrid,1
3786,P0014165,Rúa de Tomás A. Alonso  193,Parada,42.2249050289055,-8.74528577475817,,http://infobus.vitrasa.es:8002/Default.aspx?parada=14165,,,Europe/Madrid,1
3646,P008340,Rúa de Tomás A. Alonso  137,Parada,42.2238404738004,-8.74043289149697,,http://infobus.vitrasa.es:8002/Default.aspx?parada=8340,,,Europe/Madrid,1
3500,P006990,Praza Eugenio Fadrique  9,Parada,42.2240996130004,-8.73583834438634,,http://infobus.vitrasa.es:8002/Default.aspx?parada=6990,,,Europe/Madrid,1
3759,P0014136,Avda. de Galicia  18,Parada,42.2504843716462,-8.69487880359165,,http://infobus.vitrasa.es:8002/Default.aspx?parada=14136,,,Europe/Madrid,1
2951,P001680,Avda. de Galicia (Parque Cruce Balbarda),Parada,42.2513274705653,-8.69260735009203,,http://infobus.vitrasa.es:8002/Default.aspx?parada=1680,,,Europe/Madrid,1
2944,P001610,Avda. de Galicia  146,Parada,42.2513761981728,-8.68920404008657,,http://infobus.vitrasa.es:8002/Default.aspx?parada=1610,,,Europe/Madrid,1
3757,P0014134,Avda. de Galicia  182,Parada,42.2532087926865,-8.68699559131289,,http://infobus.vitrasa.es:8002/Default.aspx?parada=14134,,,Europe/Madrid,1
2947,P001640,Avda. de Galicia  200,Parada,42.2549500831665,-8.68486274759951,,http://infobus.vitrasa.es:8002/Default.aspx?parada=1640,,,Europe/Madrid,1
2948,P001650,Avda. de Galicia  238,Parada,42.2569107152155,-8.68201353004727,,http://infobus.vitrasa.es:8002/Default.aspx?parada=1650,,,Europe/Madrid,1
2949,P001660,Avda. de Galicia  280,Parada,42.2592179589285,-8.67966650317712,,http://infobus.vitrasa.es:8002/Default.aspx?parada=1660,,,Europe/Madrid,1
2962,P001790,Avda. de Vigo  261 (Cuatro Puentes),Parada,42.2616210886788,-8.67720727903583,,http://infobus.vitrasa.es:8002/Default.aspx?parada=1790,,,Europe/Madrid,1
2959,P001760,Avda. de Vigo  201,Parada,42.2640896596421,-8.67408223891235,,http://infobus.vitrasa.es:8002/Default.aspx?parada=1760,,,Europe/Madrid,1
2958,P001750,Avda. de Vigo  161,Parada,42.266305918576,-8.67281891846633,,http://infobus.vitrasa.es:8002/Default.aspx?parada=1750,,,Europe/Madrid,1
2956,P001730,Avda. de Vigo  129,Parada,42.2678337977233,-8.67134573889351,,http://infobus.vitrasa.es:8002/Default.aspx?parada=1730,,,Europe/Madrid,1
